Timestamp;Type;Details
2026-03-04 22:40:50;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.Windows.NarratorQuickStart_10.0.26100.1_neutral_neutral_8wekyb3d8bbwe?ms-resource://Microsoft.Windows.NarratorQuickStart/Resources/AppDisplayName}" new enable=no]
2026-03-04 22:40:46;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.2_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}': netsh failed (exit 1): No rules match the specified criteria.
2026-03-04 22:40:46;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.2_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}" new enable=no]
2026-03-04 22:40:46;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.2_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}': netsh failed (exit 1): No rules match the specified criteria.
2026-03-04 22:40:46;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.2_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}" new enable=no]
2026-03-04 22:40:46;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.LockApp_10.0.26100.4202_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}': netsh failed (exit 1): No rules match the specified criteria.
2026-03-04 22:40:46;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.LockApp_10.0.26100.4202_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}" new enable=no]
2026-03-04 22:40:46;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.Windows.StartMenuExperienceHost_10.0.26100.4768_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}': netsh failed (exit 1): No rules match the specified criteria.
2026-03-04 22:40:46;INFO;[FW ERROR] netsh failed (exit 1): No rules match the specified criteria.  args=[advfirewall firewall set rule name="@{Microsoft.Windows.StartMenuExperienceHost_10.0.26100.4768_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}" new enable=no]
2026-03-04 22:40:46;INFO;[FW WARN] DisableBuiltin could not disable '@{Microsoft.Windows.StartMenuExperienceHost_10.0.26100.4768_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}': netsh failed (exit 1): No rules match the specified criteria.
